Address,Parcel,Status,Zillow,List Price (Latest),Lot Size,Desirability,Frontage Type,Square Footage,Price/SqFt,Neighborhood,Bedrooms,Bedrooms Up,Bathrooms,Offices,Floors,HOA fees (mo),Year Built,Storage,Yard Size,Garage Spaces,Formal Dining,Finished Basement,Previous Listing,Photo URL
408 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
409 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
409 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
409 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
411 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
412 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
412 NW Briarcliff Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
412 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
412 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
413 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
413 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
415 NW Briarcliff Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
415 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
416 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
417 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
418 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
418 NW Briarcliff Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
419 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
419 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
420 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
421 NW Briarcliff Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
421 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
421 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
424 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
424 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
427 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
428 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
444 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
500 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
500 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
500 NW 44th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
500 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
500 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
501 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
501 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
501 NW 44th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
501 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
501 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
502 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
503 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
504 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
504 NW 44th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
504 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
504 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
505 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
505 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
505 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
505 NW 44th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
505 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
505 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
506 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
506 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
507 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
507 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
507 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
507 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
508 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
508 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
508 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
509 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
511 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
512 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
512 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
513 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
513 NW 44th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
513 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
514 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
515 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
517 NW 44th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
518 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
518 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
519 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
519 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
